desde;ate;campanha;titulo_do_anuncio_patrocinado;codigo_do_anuncio;status;impressoes;cliques;cpc__(custo_por_clique);ctr_(click_through_rate);cvr_(conversion_rate);receita_(moeda_local);investimento_(moeda_local);acos__(investimento_/_receitas);roas_(receitas_/_investimento);vendas_diretas;vendas_indiretas;vendas_por_publicidade_(diretas_+_indiretas);receita_por_vendas_diretas_(moeda_local);receita_por_vendas_indiretas
29-jun-2025;13-jul-2025;Ads 1kg nosso mel;Mel De Abelha 100% Puro 1 Kg Florada Silvestre Melbras;MLB5188712094;Ativo;213464;1207;1,25;0,57;19,14;9610,740234;1504,76;15,66;638,69;215;16;231;9266,020508;344,7200012
29-jun-2025;13-jul-2025;Ads 1L Adstringente;Loção Pré Depilação Adstringente Hortelã Verb Belbras 250ml;MLB4096791079;Ativo;23;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;Ads 1L Adstringente;Loção Pré Depilação Adstringente Hortelã Verbeno Belbras 1l;MLB3946298695;Ativo;64437;131;0,43;0,2;-;0;55,89;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;Ads 280 aroeira;Mel Melbras Aroeira 280gr - Melbras - Mel Do Brasil;MLB5107726640;Pausado;0;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;Ads 280 aroeira;Mel Melbras Aroeira 280gr - Melbras - Mel Do Brasil;MLB5122754916;Ativo;0;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;Ads 280 aroeira;Mel Orgânico Melbras Aroeira 280gr - Mel Do Brasil;MLB5246291890;Movido;0;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;Ads 280 Eucalipto;Mel Flores De Eucalipto 280g Pote;MLB3960525187;Ativo;0;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;Ads 280 Silvestre;Composto De Mel E Extrato De Própolis 64g | Contém 16 Sachês;MLB3947876061;Movido;0;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;Ads 280 Silvestre;Composto De Mel E Extrato De Própolis 64g | Contém 16 Sachês;MLB3937009741;;0;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;Ads 280 Silvestre;Mel De Abelha 100% Puro 1 Kg Florada Silvestre Melbras;MLB5188712094;Movido;0;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;Ads 280 Silvestre;Mel De Abelha 100% Puro 220gr Florada Silvestre - Melbras;MLB5166209232;Movido;0;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;Ads 280 Silvestre;Mel Melbras Aroeira 280gr - Melbras - Mel Do Brasil;MLB5122754916;Movido;0;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;Ads 280 Silvestre;Mel Puro Premium Flor De Laranjeira Squeeze 280g - Melbras;MLB5245420632;Movido;0;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;Ads 280 Silvestre;Mel Puro Premium Silvestre Squeeze 280g - Melbras;MLB3879722283;Ativo;0;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;Ads 280 Silvestre;Mel Puro Silvestre Em Sachê 64g | Contém 16 Sachês.;MLB3937061173;;0;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;Ads 280 Silvestre;Mel Silvestre 500g - Frasco Líquido Melbras;MLB5188664772;;0;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;Ads 280 Silvestre;Mel Silvestre 500g - Nosso Mel Emvase Bisnaga Tradicional De Mel;MLB5212862454;Movido;0;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;Ads 280 Silvestre;Melbras Mel Puro Silvestre Em Sachê 64g Contém 16 Unidades;MLB3947942297;Movido;0;0;-;-;-;0;0;-;-;0;0;0;0;0
29-jun-2025;13-jul-2025;Ads 280 Silvestre Orgânico;Mel Orgânico Melbras Aroeira 280gr - Mel Do Brasil;MLB5246291890;Movido;0;0;-;-;-;0;0;-;-;0;0;0;0;0
